업체명,물품분류명,금액,납품요구번호,MAS여부,월
주식회사 티제이원,텔레비전거치대,-274000,1223261534,N,2월
주식회사 티제이원,전원공급장치,-465600,1223261534,N,2월
주식회사 티제이원,카메라받침대,-8940400,1223261534,N,2월
주식회사 티제이원,네트워크시스템장비용랙,-2198000,1223261534,N,2월
주식회사 티제이원,전기함,-414000,1223261534,N,2월
주식회사 티제이원,유선송신기또는수신기,-710000,1223261534,N,2월
주식회사 티제이원,영상정보디스플레이장치,-12468000,1223261534,N,2월
주식회사 티제이원,네트워크시스템장비용랙,-1497900,1223261534,N,2월
주식회사 티제이원,보안용카메라,-5664000,1223261534,N,2월
주식회사 티제이원,LCD패널또는모니터,-960000,1223261534,N,2월
주식회사 티제이원,카메라받침대,-330000,1223261534,N,2월
주식회사 티제이원,네트워크스위치,-6145000,1223261534,N,2월
주식회사 티제이원,영상감시장치,-11342000,1223261534,N,2월
주식회사 티제이원,보안용카메라,-66216000,1223261534,N,2월
주식회사 티제이원,하드디스크드라이브,-6912000,1223261534,N,2월
주식회사 티제이원,디지털비디오레코더,-23016000,1223261534,N,2월
주식회사센텍,보안용카메라,-680000,1224260202,N,2월
주식회사 홍석,네트워크스위치,0,2224319208,N,2월
주식회사 홍석,하드디스크드라이브,0,2224319208,N,2월
주식회사 홍석,컴퓨터서버,0,2224319208,N,2월
주식회사 홍석,전원공급장치,0,2224319208,N,2월
주식회사 홍석,유선송신기또는수신기,123000,2224319208,N,2월
주식회사 홍석,디지털비디오레코더,0,2224319208,N,2월
주식회사 홍석,경보장치,0,2224319208,N,2월
주식회사 홍석,인터콤시스템,1653000,2224319208,N,2월
주식회사 홍석,멀티미디어수신기,0,2224319208,N,2월
주식회사 홍석,영상감시장치,0,2224319208,N,2월
주식회사 홍석,LCD패널또는모니터,0,2224319208,N,2월
주식회사 홍석,네트워크시스템장비용랙,0,2224319208,N,2월
주식회사 홍석,보안용카메라,850000,2224319208,N,2월
주식회사 홍석,보안용카메라,0,2224319208,N,2월
주식회사 홍석,유선송신기또는수신기,123000,2224319208,N,2월
주식회사 그린아이티코리아,주차관제장치,0,2323412004,N,2월
주식회사 그린아이티코리아,전원공급장치,0,2323412004,N,2월
주식회사 그린아이티코리아,주차관제장치,-6088000,2323412004,N,2월
주식회사 그린아이티코리아,전원공급장치,0,2323412009,N,2월
주식회사 그린아이티코리아,서지방지장치,0,2323412009,N,2월
주식회사 그린아이티코리아,서지방지장치,-740800,2323412009,N,2월
주식회사 그린아이티코리아,보안용카메라,0,2323412009,N,2월
주식회사 그린아이티코리아,보안용카메라,0,2323412009,N,2월
주식회사 그린아이티코리아,전기함,0,2323412009,N,2월
주식회사 그린아이티코리아,네트워크스위치,0,2323412009,N,2월
주식회사 그린아이티코리아,영상감시장치,0,2323412009,N,2월
주식회사 그린아이티코리아,스피커,0,2323412009,N,2월
주식회사 그린아이티코리아,누전차단기,0,2323412009,N,2월
주식회사 그린아이티코리아,광송신기또는수신기,-142000,2323412009,N,2월
주식회사 그린아이티코리아,광분배함,-220000,2323412009,N,2월
주식회사 그린아이티코리아,광섬유케이블어셈블리,-29200,2323412009,N,2월
주식회사 그린아이티코리아,카메라받침대,0,2323412009,N,2월
주식회사 그린아이티코리아,접지장치또는조립품,0,2323412036,Y,2월
주식회사 그린아이티코리아,접지장치또는조립품,0,2323412036,Y,2월
주식회사 그린아이티코리아,안내판,-863560,2323412036,Y,2월
주식회사 그린아이티코리아,전력케이블,0,2323412036,Y,2월
주식회사 그린아이티코리아,네트워크케이블,0,2323412036,Y,2월
주식회사 그린아이티코리아,옥외광섬유케이블,-1617000,2323412036,Y,2월
