업체명,물품분류명,계약유형,금액
주식회사 시큐인포,영상감시장치,제3자단가계약,243090000
주식회사 시큐인포,영상감시장치,제3자단가계약,97812000
주식회사 홍석,컴퓨터서버,제3자단가계약,3563000
주식회사 홍석,전원공급장치,제3자단가계약,232800
주식회사 홍석,경보장치,제3자단가계약,33694000
주식회사 홍석,인터콤시스템,제3자단가계약,1653000
주식회사 홍석,멀티미디어수신기,제3자단가계약,13203000
주식회사 홍석,영상감시장치,제3자단가계약,250000
주식회사 홍석,LCD패널또는모니터,제3자단가계약,353000
주식회사 홍석,네트워크시스템장비용랙,제3자단가계약,975000
주식회사 홍석,네트워크스위치,제3자단가계약,2124000
주식회사 펜타게이트,상자,제3자단가계약,0
주식회사 펜타게이트,상자,제3자단가계약,0
주식회사 펜타게이트,광섬유케이블어셈블리,제3자단가계약,0
주식회사 펜타게이트,전원공급장치,제3자단가계약,0
주식회사 펜타게이트,전원공급장치,제3자단가계약,0
주식회사 펜타게이트,서지방지장치,제3자단가계약,0
주식회사 펜타게이트,서지방지장치,제3자단가계약,0
주식회사 펜타게이트,누전차단기,제3자단가계약,0
주식회사 펜타게이트,하드디스크드라이브,제3자단가계약,0
주식회사 펜타게이트,LCD패널또는모니터,제3자단가계약,0
주식회사 펜타게이트,유선송신기또는수신기,제3자단가계약,0
주식회사 펜타게이트,유선송신기또는수신기,제3자단가계약,0
주식회사 펜타게이트,네트워크스위치,제3자단가계약,0
주식회사 펜타게이트,네트워크스위치,제3자단가계약,0
주식회사 펜타게이트,네트워크스위치,제3자단가계약,0
주식회사 펜타게이트,광분배함,제3자단가계약,0
주식회사 펜타게이트,광분배함,제3자단가계약,0
주식회사 펜타게이트,카메라받침대,제3자단가계약,0
주식회사 펜타게이트,보안용카메라,제3자단가계약,0
주식회사 펜타게이트,보안용카메라,제3자단가계약,0
주식회사 펜타게이트,영상감시장치,제3자단가계약,0
주식회사 펜타게이트,디지털비디오레코더,제3자단가계약,0
주식회사 아이엔아이,상자,제3자단가계약,7590000
주식회사 아이엔아이,광섬유케이블어셈블리,제3자단가계약,374000
주식회사 아이엔아이,통신케이블어셈블리,제3자단가계약,88000
주식회사 아이엔아이,전원공급장치,제3자단가계약,6930000
주식회사 아이엔아이,서지방지장치,제3자단가계약,732000
주식회사 아이엔아이,서지방지장치,제3자단가계약,981000
주식회사 아이엔아이,하드디스크드라이브,제3자단가계약,7332000
주식회사 아이엔아이,광송신기또는수신기,제3자단가계약,1122000
주식회사 아이엔아이,네트워크스위치,제3자단가계약,8200000
주식회사 아이엔아이,네트워크스위치,제3자단가계약,3538200
주식회사 아이엔아이,네트워크시스템장비용랙,제3자단가계약,5389000
주식회사 아이엔아이,광분배함,제3자단가계약,662200
주식회사 아이엔아이,광분배함,제3자단가계약,252900
주식회사 아이엔아이,광분배함,제3자단가계약,119000
주식회사 아이엔아이,광분배함,제3자단가계약,164300
주식회사 아이엔아이,텔레비전거치대,제3자단가계약,170000
주식회사 아이엔아이,영상정보디스플레이장치,제3자단가계약,2340000
주식회사 아이엔아이,카메라받침대,제3자단가계약,1900000
주식회사 아이엔아이,보안용카메라,제3자단가계약,43369000
주식회사 아이엔아이,보안용카메라,제3자단가계약,13950000
주식회사 아이엔아이,영상감시장치,제3자단가계약,1740000
주식회사 아이엔아이,영상감시장치,제3자단가계약,1891000
주식회사 아이엔아이,디지털비디오레코더,제3자단가계약,13308000
(주)비엔에스테크,영상감시장치,제3자단가계약,8117000
(주)비엔에스테크,광분배함,제3자단가계약,298000
(주)비엔에스테크,광분배함,제3자단가계약,49000
(주)비엔에스테크,광송신기또는수신기,제3자단가계약,396000
(주)비엔에스테크,광섬유케이블어셈블리,제3자단가계약,60000
(주)비엔에스테크,네트워크시스템장비용랙,제3자단가계약,539000
(주)비엔에스테크,LCD패널또는모니터,제3자단가계약,604000
(주)비엔에스테크,전원공급장치,제3자단가계약,548000
(주)비엔에스테크,네트워크스위치,제3자단가계약,1430000
(주)비엔에스테크,하드디스크드라이브,제3자단가계약,4840000
(주)비엔에스테크,보안용카메라,제3자단가계약,5586000
(주)비엔에스테크,보안용카메라,제3자단가계약,0
(주)비엔에스테크,상자,제3자단가계약,1652000
(주)비엔에스테크,상자,제3자단가계약,1254000
(주)비엔에스테크,네트워크스위치,제3자단가계약,3570000
이노뎁(주),통신서버소프트웨어,제3자단가계약,0
주식회사 시큐인포,상자,제3자단가계약,0
주식회사 시큐인포,서지방지장치,제3자단가계약,0
주식회사 시큐인포,서지방지장치,제3자단가계약,0
주식회사 시큐인포,누전차단기,제3자단가계약,0
주식회사 시큐인포,하드디스크드라이브,제3자단가계약,0
주식회사 시큐인포,하드디스크드라이브,제3자단가계약,0
주식회사 시큐인포,LCD패널또는모니터,제3자단가계약,0
주식회사 시큐인포,네트워크스위치,제3자단가계약,0
주식회사 시큐인포,영상감시장치,제3자단가계약,0
주식회사 시큐인포,전기함,제3자단가계약,0
주식회사 시큐인포,경보장치,제3자단가계약,0
주식회사 시큐인포,영상감시장치,제3자단가계약,0
주식회사 시큐인포,안내판,제3자단가계약,0
주식회사 시큐인포,정보통신공사,제3자단가계약,0
주식회사 시큐인포,정보통신공사,제3자단가계약,0
주식회사 시큐인포,정보통신공사,제3자단가계약,0
(주)지성이엔지,광섬유케이블어셈블리,제3자단가계약,736000
(주)지성이엔지,전원공급장치,제3자단가계약,1642800
(주)지성이엔지,전원공급장치,제3자단가계약,415100
(주)지성이엔지,전기함,제3자단가계약,414000
(주)지성이엔지,서지방지장치,제3자단가계약,2849000
(주)지성이엔지,서지방지장치,제3자단가계약,6307000
(주)지성이엔지,누전차단기,제3자단가계약,2090000
(주)지성이엔지,그래픽또는비디오가속카드,제3자단가계약,6400000
(주)지성이엔지,하드디스크어레이,제3자단가계약,0
(주)지성이엔지,하드디스크드라이브,제3자단가계약,39903000
(주)지성이엔지,컴퓨터서버,제3자단가계약,17575000
(주)지성이엔지,LCD패널또는모니터,제3자단가계약,900000
(주)지성이엔지,유선송신기또는수신기,제3자단가계약,756000
(주)지성이엔지,유선송신기또는수신기,제3자단가계약,945000
(주)지성이엔지,광송신기또는수신기,제3자단가계약,2852000
(주)지성이엔지,네트워크스위치,제3자단가계약,8580000
(주)지성이엔지,네트워크스위치,제3자단가계약,3575000
(주)지성이엔지,네트워크스위치,제3자단가계약,8766000
(주)지성이엔지,네트워크스위치,제3자단가계약,3130000
(주)지성이엔지,네트워크스위치,제3자단가계약,3718000
(주)지성이엔지,네트워크시스템장비용랙,제3자단가계약,500000
(주)지성이엔지,네트워크시스템장비용랙,제3자단가계약,980000
(주)지성이엔지,광분배함,제3자단가계약,357000
(주)지성이엔지,광분배함,제3자단가계약,964000
(주)지성이엔지,광분배함,제3자단가계약,788000
(주)지성이엔지,카메라받침대,제3자단가계약,420000
(주)지성이엔지,카메라받침대,제3자단가계약,3238300
(주)지성이엔지,보안용카메라,제3자단가계약,29600000
(주)지성이엔지,보안용카메라,제3자단가계약,60808000
(주)지성이엔지,보안용카메라,제3자단가계약,19965000
(주)지성이엔지,보안용카메라,제3자단가계약,99002000
(주)지성이엔지,영상감시장치,제3자단가계약,1443000
(주)지성이엔지,디지털비디오레코더,제3자단가계약,52504000
(주)비엔에스테크,광섬유케이블어셈블리,제3자단가계약,180000
(주)비엔에스테크,서지방지장치,제3자단가계약,1881000
(주)비엔에스테크,누전차단기,제3자단가계약,1854000
(주)비엔에스테크,하드디스크드라이브,제3자단가계약,1210000
(주)비엔에스테크,LCD패널또는모니터,제3자단가계약,302000
(주)비엔에스테크,광송신기또는수신기,제3자단가계약,1188000
(주)비엔에스테크,네트워크스위치,제3자단가계약,6435000
(주)비엔에스테크,네트워크스위치,제3자단가계약,1190000
(주)비엔에스테크,네트워크시스템장비용랙,제3자단가계약,0
(주)비엔에스테크,네트워크시스템장비용랙,제3자단가계약,0
(주)비엔에스테크,광분배함,제3자단가계약,441000
(주)비엔에스테크,보안용카메라,제3자단가계약,6880000
(주)비엔에스테크,보안용카메라,제3자단가계약,33096000
(주)비엔에스테크,영상감시장치,제3자단가계약,11460000
(주)비엔에스테크,디지털비디오레코더,제3자단가계약,7561000
주식회사 홍석,전원공급장치,제3자단가계약,891000
주식회사 홍석,하드디스크드라이브,제3자단가계약,3033000
주식회사 홍석,네트워크스위치,제3자단가계약,1851000
주식회사 홍석,네트워크시스템장비용랙,제3자단가계약,975000
주식회사 홍석,영상감시장치,제3자단가계약,6684000
주식회사 홍석,영상감시장치,제3자단가계약,9212000
주식회사 홍석,네트워크스위치,제3자단가계약,1800000
주식회사 홍석,광송신기또는수신기,제3자단가계약,132000
주식회사 홍석,광섬유케이블어셈블리,제3자단가계약,26880
주식회사 홍석,광분배함,제3자단가계약,94600
주식회사 홍석,광분배함,제3자단가계약,164300
주식회사 홍석,상자,제3자단가계약,717000
주식회사 비알인포텍,광섬유케이블어셈블리,제3자단가계약,20000
주식회사 비알인포텍,전원공급장치,제3자단가계약,1096000
주식회사 비알인포텍,하드디스크드라이브,제3자단가계약,6912000
주식회사 비알인포텍,LCD패널또는모니터,제3자단가계약,1263600
주식회사 비알인포텍,유선송신기또는수신기,제3자단가계약,379000
주식회사 비알인포텍,광송신기또는수신기,제3자단가계약,132000
주식회사 비알인포텍,네트워크스위치,제3자단가계약,554000
주식회사 비알인포텍,네트워크스위치,제3자단가계약,8370000
주식회사 비알인포텍,네트워크시스템장비용랙,제3자단가계약,2500000
주식회사 비알인포텍,네트워크시스템장비용랙,제3자단가계약,0
주식회사 비알인포텍,네트워크시스템장비용랙,제3자단가계약,950000
주식회사 비알인포텍,광분배함,제3자단가계약,73700
주식회사 비알인포텍,광분배함,제3자단가계약,164300
주식회사 비알인포텍,카메라받침대,제3자단가계약,526000
주식회사 비알인포텍,카메라받침대,제3자단가계약,11500000
주식회사 비알인포텍,보안용카메라,제3자단가계약,14256000
주식회사 비알인포텍,보안용카메라,제3자단가계약,81702000
주식회사 비알인포텍,영상감시장치,제3자단가계약,1871000
주식회사 비알인포텍,디지털비디오레코더,제3자단가계약,17824000
주식회사 비알인포텍,디지털비디오레코더,제3자단가계약,3960000
주식회사 제이한테크,금속기둥,제3자단가계약,0
주식회사 제노시스,네트워크스위치,제3자단가계약,0
