No,계약업체,본사소재지,기업구분,상품수,사업자등록번호
1,(주)경림이앤지,서울특별시 마포구,중소기업,125,1058665689
2,(주)비엔에스테크,경기도 성남시 중원구,중소기업,204,6428101326
3,(주)앤다스,서울특별시 송파구,중소기업,113,1058728982
4,(주)원우이엔지,서울특별시 강서구,중소기업,43,1308179388
5,(주)지성이엔지,경상북도 경주시,중소기업,555,5058164376
6,(주)포소드,서울특별시 영등포구,중소기업,147,1088178984
7,(주)현명,전라남도 순천시,중소기업,114,1348633147
8,뉴코리아전자통신 주식회사,서울특별시 양천구,중소기업,6,1138157550
9,대신네트웍스주식회사,경기도 수원시 영통구,중소기업,12,1248137312
10,렉스젠 주식회사,경기도 안양시 동안구,중소기업,195,4028147350
11,미르텍 주식회사,전라남도 목포시,중소기업,25,4118125379
12,비티에스 주식회사,전북특별자치도 전주시 덕진구,중소기업,439,2218801109
13,사이테크놀로지스 주식회사,대전광역시 대덕구,중소기업,739,3148629273
14,에코아이넷(주),서울특별시 금천구,중소기업,97,1198653668
15,이노뎁(주),서울특별시 금천구,중소기업,824,1138618789
16,주식회사 그린아이티코리아,경기도 남양주시,중소기업,193,1328612506
17,주식회사 누리콘,경기도 성남시 분당구,중소기업,10,1348675166
18,주식회사 다누시스,경기도 광명시,중소기업,302,1078624267
19,주식회사 두원전자통신,경기도 부천시 오정구,중소기업,58,1308641567
20,주식회사 디라직,경기도 안양시 동안구,중소기업,461,2298134357
21,주식회사 디지탈라인,경기도 화성시,중소기업,55,1388143337
22,주식회사 디케이앤트,서울특별시 송파구,중소기업,93,2308103607
23,주식회사 마이크로시스템,경기도 용인시 처인구,중소기업,24,4758800949
24,주식회사 명광,대전광역시 유성구,중소기업,537,3148171174
25,주식회사 비알인포텍,인천광역시 연수구,중소기업,"1,353",1228643768
26,주식회사 새움,경기도 하남시,중소기업,9,2158717690
27,주식회사 세오,경기도 안양시 동안구,중소기업,454,4168144274
28,주식회사 솔디아,경기도 안양시 동안구,중소기업,638,5628600778
29,주식회사 송우인포텍,경상남도 진주시,중소기업,61,6138157730
30,주식회사 시큐인포,경기도 과천시,중소기업,655,2148632482
31,주식회사 아라드네트웍스,대전광역시 중구,중소기업,1,2148889878
32,주식회사 아이엔아이,경기도 안양시 동안구,중소기업,133,1198108907
33,주식회사 아이즈온솔루션,서울특별시 구로구,중소기업,164,1738100419
34,주식회사 알엠텍,경기도 하남시,중소기업,55,1298635968
35,주식회사 에스카,경기도 안양시 동안구,중소기업,"3,189",1388195849
36,주식회사 오티에스,대전광역시 서구,중소기업,56,3058112787
37,"주식회사 올인원 코리아(ALL-IN-ONE KOREA CO., LTD.)",경상남도 창원시 의창구,중소기업,12,1388601157
38,주식회사 웹게이트,경기도 군포시,중소기업,144,4648701602
39,주식회사 인텔리빅스,서울특별시 서초구,중소기업,806,1148199927
40,주식회사 제노시스,경기도 성남시 분당구,중소기업,366,1298623254
41,주식회사 제이한테크,인천광역시 부평구,중소기업,223,4128151415
42,주식회사 지인테크,경기도 안산시 단원구,중소기업,212,1348668520
43,주식회사 진명아이앤씨,대구광역시 달성군,중소기업,"1,435",5018123048
44,주식회사 크리에이티브넷,충청남도 공주시,중소기업,27,6568100025
45,주식회사 티제이원,서울특별시 금천구,중소기업,337,"	1068656301"
46,주식회사 파로스,경기도 안양시 동안구,중소기업,525,4098627710
47,주식회사 펜타게이트,인천광역시 남동구,중소기업,923,6308701136
48,주식회사 포딕스시스템,서울특별시 구로구,중소기업,466,1138645971
49,주식회사 포커스에이아이,경기도 안양시 동안구,중소기업,363,5548701400
50,주식회사 핀텔,경기도 용인시 기흥구,중소기업,167,2038800359
51,주식회사 한국아이티에스,경상북도 경산시,중소기업,164,5028189591
52,주식회사 홍석,전북특별자치도 익산시,중소기업,978,4038132904
53,주식회사센텍,충청남도 천안시 서북구,중소기업,597,3128155450
54,한국씨텍(주),서울특별시 금천구,중소기업,249,1068627183
